Constituency Name,Candidate surname,Candidate First Name,Result,Count Number,Non_Transferable,Occurred On Count,Required To Reach Quota,Required To Save Deposit,Transfers,Votes,Total Votes,Constituency Number,Candidate Id
Louth,Adams,Gerry,,1,0,0,594,0,0,10661,10661,31,160
Louth,Adams,Gerry,,2,0,0,481,0,113,10661,10774,31,160
Louth,Adams,Gerry,,3,0,0,429,0,52,10661,10826,31,160
Louth,Adams,Gerry,,4,0,0,347,0,82,10661,10908,31,160
Louth,Adams,Gerry,,5,0,0,159,0,188,10661,11096,31,160
Louth,Adams,Gerry,Elected,7,0,6,0,0,0,10661,11278,31,160
Louth,Adams,Gerry,Elected,8,0,6,0,0,0,10661,11278,31,160
Louth,Adams,Gerry,Elected,6,0,6,0,0,182,10661,11278,31,160
Louth,Adams,Gerry,Elected,10,0,6,0,0,0,10661,11278,31,160
Louth,Adams,Gerry,Elected,11,0,6,0,0,0,10661,11278,31,160
Louth,Adams,Gerry,Elected,9,0,6,0,0,0,10661,11278,31,160
Cork East,Ahern,Barbara,,1,0,0,5968,0,0,4594,4594,4,169
Cork East,Ahern,Barbara,,10,0,10,3781,0,349,4594,6781,4,169
Cork East,Ahern,Barbara,,2,0,0,5927,0,41,4594,4635,4,169
Cork East,Ahern,Barbara,,3,0,0,5832,0,95,4594,4730,4,169
Cork East,Ahern,Barbara,,4,0,0,5738,0,94,4594,4824,4,169
Cork East,Ahern,Barbara,,5,0,0,5576,0,162,4594,4986,4,169
Cork East,Ahern,Barbara,,6,0,0,5481,0,95,4594,5081,4,169
Cork East,Ahern,Barbara,,7,0,0,5009,0,472,4594,5553,4,169
Cork East,Ahern,Barbara,,8,0,0,4346,0,663,4594,6216,4,169
Cork East,Ahern,Barbara,,9,0,0,4130,0,216,4594,6432,4,169
Waterford,Ahmed,Sheik Mohiuddin,,1,0,0,10201,2446,0,140,140,38,160
Waterford,Ahmed,Sheik Mohiuddin,,2,0,0,10198,2443,3,140,143,38,160
Waterford,Ahmed,Sheik Mohiuddin,Excluded,3,0,3,0,2443,-143,140,0,38,160
Waterford,Ahmed,Sheik Mohiuddin,Excluded,4,0,3,0,2443,0,140,0,38,160
Waterford,Ahmed,Sheik Mohiuddin,Excluded,5,0,3,0,2443,0,140,0,38,160
Waterford,Ahmed,Sheik Mohiuddin,Excluded,6,0,3,0,2443,0,140,0,38,160
Waterford,Ahmed,Sheik Mohiuddin,Excluded,7,0,3,0,2443,0,140,0,38,160
Waterford,Ahmed,Sheik Mohiuddin,Excluded,8,0,3,0,2443,0,140,0,38,160
Waterford,Ahmed,Sheik Mohiuddin,Excluded,9,0,3,0,2443,0,140,0,38,160
Dublin Mid West,Akpoveta,Patrick,Excluded,12,0,6,0,1813,0,288,0,643,187
Dublin Mid West,Akpoveta,Patrick,,1,0,0,8333,1868,0,288,288,643,187
Dublin Mid West,Akpoveta,Patrick,,2,0,0,8314,1849,19,288,307,643,187
Dublin Mid West,Akpoveta,Patrick,,3,0,0,8310,1845,4,288,311,643,187
Dublin Mid West,Akpoveta,Patrick,,4,0,0,8303,1838,7,288,318,643,187
Dublin Mid West,Akpoveta,Patrick,,5,0,0,8278,1813,25,288,343,643,187
Dublin Mid West,Akpoveta,Patrick,Excluded,6,0,6,0,1813,-343,288,0,643,187
Dublin Mid West,Akpoveta,Patrick,Excluded,7,0,6,0,1813,0,288,0,643,187
Dublin Mid West,Akpoveta,Patrick,Excluded,8,0,6,0,1813,0,288,0,643,187
Dublin Mid West,Akpoveta,Patrick,Excluded,9,0,6,0,1813,0,288,0,643,187
Dublin Mid West,Akpoveta,Patrick,Excluded,10,0,6,0,1813,0,288,0,643,187
Dublin Mid West,Akpoveta,Patrick,Excluded,11,0,6,0,1813,0,288,0,643,187
Tipperary,Ambrose,Siobhán,Excluded,7,0,3,0,0,0,4472,0,36,160
Tipperary,Ambrose,Siobhán,,1,0,0,8520,0,0,4472,4472,36,160
Tipperary,Ambrose,Siobhán,,2,0,0,8305,0,215,4472,4687,36,160
Tipperary,Ambrose,Siobhán,Excluded,5,0,3,0,0,0,4472,0,36,160
Tipperary,Ambrose,Siobhán,Excluded,6,0,3,0,0,0,4472,0,36,160
Tipperary,Ambrose,Siobhán,Excluded,3,0,3,0,0,-4687,4472,0,36,160
Tipperary,Ambrose,Siobhán,Excluded,4,0,3,0,0,0,4472,0,36,160
Dublin Bay South,Andrews,Chris,,5,0,0,3053,0,377,3774,4888,17,174
Dublin Bay South,Andrews,Chris,,1,0,0,4167,0,0,3774,3774,17,174
Dublin Bay South,Andrews,Chris,,2,0,0,4145,0,22,3774,3796,17,174
Dublin Bay South,Andrews,Chris,,3,0,0,3984,0,161,3774,3957,17,174
Dublin Bay South,Andrews,Chris,,4,0,0,3430,0,554,3774,4511,17,174
Dublin Bay South,Andrews,Chris,Excluded,8,0,7,0,0,0,3774,0,17,174
Dublin Bay South,Andrews,Chris,,6,0,0,2744,0,309,3774,5197,17,174
Dublin Bay South,Andrews,Chris,Excluded,7,0,7,0,0,-5197,3774,0,17,174
Dublin South Central,Ardagh,Catherine,,10,0,0,731,0,725,5441,7841,16,160
Dublin South Central,Ardagh,Catherine,Excluded,11,0,11,728,0,3,5441,7844,16,160
Dublin South Central,Ardagh,Catherine,,1,0,0,3131,0,0,5441,5441,16,160
Dublin South Central,Ardagh,Catherine,,2,0,0,3064,0,67,5441,5508,16,160
Dublin South Central,Ardagh,Catherine,,3,0,0,2874,0,190,5441,5698,16,160
Dublin South Central,Ardagh,Catherine,,4,0,0,2755,0,119,5441,5817,16,160
Dublin South Central,Ardagh,Catherine,,5,0,0,2508,0,247,5441,6064,16,160
Dublin South Central,Ardagh,Catherine,,6,0,0,2133,0,375,5441,6439,16,160
Dublin South Central,Ardagh,Catherine,,7,0,0,2016,0,117,5441,6556,16,160
Dublin South Central,Ardagh,Catherine,,8,0,0,1955,0,61,5441,6617,16,160
Dublin South Central,Ardagh,Catherine,,9,0,0,1456,0,499,5441,7116,16,160
Carlow Kilkenny,Aylward,Bobby,,3,0,0,2200,0,94,9366,9469,1,160
Carlow Kilkenny,Aylward,Bobby,,4,0,0,2178,0,22,9366,9491,1,160
Carlow Kilkenny,Aylward,Bobby,Elected,11,0,11,334,0,258,9366,11335,1,160
Carlow Kilkenny,Aylward,Bobby,,1,0,0,2303,0,0,9366,9366,1,160
Carlow Kilkenny,Aylward,Bobby,,2,0,0,2294,0,9,9366,9375,1,160
Carlow Kilkenny,Aylward,Bobby,,5,0,0,2120,0,58,9366,9549,1,160
Carlow Kilkenny,Aylward,Bobby,,6,0,0,1866,0,254,9366,9803,1,160
Carlow Kilkenny,Aylward,Bobby,,7,0,0,1713,0,153,9366,9956,1,160
Carlow Kilkenny,Aylward,Bobby,,8,0,0,1639,0,74,9366,10030,1,160
Carlow Kilkenny,Aylward,Bobby,,9,0,0,1035,0,604,9366,10634,1,160
Carlow Kilkenny,Aylward,Bobby,,10,0,0,592,0,443,9366,11077,1,160
Dún Laoghaire,Bailey,Maria,,1,0,0,4321,0,0,10489,10489,21,232
Dún Laoghaire,Bailey,Maria,,2,0,0,3928,0,393,10489,10882,21,232
Dún Laoghaire,Bailey,Maria,,3,0,0,3876,0,52,10489,10934,21,232
Dún Laoghaire,Bailey,Maria,,4,0,0,3540,0,336,10489,11270,21,232
Dún Laoghaire,Bailey,Maria,,5,0,0,2956,0,584,10489,11854,21,232
Dún Laoghaire,Bailey,Maria,,6,0,0,2388,0,568,10489,12422,21,232
Dún Laoghaire,Bailey,Maria,Elected,7,0,7,0,0,2776,10489,15198,21,232
Longford Westmeath,Bannon,James,,1,0,0,6411,0,0,4639,4639,30,227
Longford Westmeath,Bannon,James,,2,0,0,6401,0,10,4639,4649,30,227
Longford Westmeath,Bannon,James,,6,0,0,6388,0,3,4639,4662,30,227
Longford Westmeath,Bannon,James,,7,0,0,6357,0,31,4639,4693,30,227
Longford Westmeath,Bannon,James,,3,0,0,6397,0,4,4639,4653,30,227
Longford Westmeath,Bannon,James,,4,0,0,6395,0,2,4639,4655,30,227
Longford Westmeath,Bannon,James,,5,0,0,6391,0,4,4639,4659,30,227
Longford Westmeath,Bannon,James,,8,0,0,6349,0,8,4639,4701,30,227
Longford Westmeath,Bannon,James,,9,0,0,6285,0,64,4639,4765,30,227
Longford Westmeath,Bannon,James,,10,0,0,6076,0,209,4639,4974,30,227
Longford Westmeath,Bannon,James,,11,0,0,5625,0,451,4639,5425,30,227
Longford Westmeath,Bannon,James,,12,0,0,5106,0,519,4639,5944,30,227
Longford Westmeath,Bannon,James,,13,0,0,3979,0,1127,4639,7071,30,227
Longford Westmeath,Bannon,James,,14,0,0,3969,0,10,4639,7081,30,227
Longford Westmeath,Bannon,James,Excluded,15,0,15,0,0,-7081,4639,0,30,227
Cork North Central,Barry,Mick,,2,0,0,1522,0,672,8041,8713,5,160
Cork North Central,Barry,Mick,,3,0,0,1331,0,191,8041,8904,5,160
Cork North Central,Barry,Mick,,6,0,0,138,0,750,8041,10097,5,160
Cork North Central,Barry,Mick,Elected,7,0,7,0,0,617,8041,10714,5,160
Cork North Central,Barry,Mick,,1,0,0,2194,0,0,8041,8041,5,160
Cork North Central,Barry,Mick,,4,0,0,1097,0,234,8041,9138,5,160
Cork North Central,Barry,Mick,Elected,10,322,7,0,0,-479,8041,10235,5,160
Cork North Central,Barry,Mick,Elected,8,0,7,0,0,0,8041,10714,5,160
Cork North Central,Barry,Mick,Elected,9,0,7,0,0,0,8041,10714,5,160
Cork North Central,Barry,Mick,,5,0,0,888,0,209,8041,9347,5,160
Cork North Central,Barry,Mick,Elected,11,322,7,0,0,0,8041,10235,5,160
Cork East,Barry,Tom,,1,0,0,7101,0,0,3461,3461,4,162
Cork East,Barry,Tom,,2,0,0,7067,0,34,3461,3495,4,162
Cork East,Barry,Tom,,3,0,0,7042,0,25,3461,3520,4,162
Cork East,Barry,Tom,,4,0,0,7030,0,12,3461,3532,4,162
Cork East,Barry,Tom,,5,0,0,6989,0,41,3461,3573,4,162
Cork East,Barry,Tom,Excluded,6,0,6,0,0,-3573,3461,0,4,162
Cork East,Barry,Tom,Excluded,7,0,6,0,0,0,3461,0,4,162
Cork East,Barry,Tom,Excluded,8,0,6,0,0,0,3461,0,4,162
Cork East,Barry,Tom,Excluded,9,0,6,0,0,0,3461,0,4,162
Cork East,Barry,Tom,Excluded,10,0,6,0,0,0,3461,0,4,162
Wicklow,Behan,Joe,,4,0,0,7929,0,165,3070,3539,41,160
Wicklow,Behan,Joe,,5,0,0,7751,0,178,3070,3717,41,160
Wicklow,Behan,Joe,,6,0,0,7180,0,571,3070,4288,41,160
Wicklow,Behan,Joe,,1,0,0,8398,0,0,3070,3070,41,160
Wicklow,Behan,Joe,,2,0,0,8123,0,275,3070,3345,41,160
Wicklow,Behan,Joe,,3,0,0,8094,0,29,3070,3374,41,160
Wicklow,Behan,Joe,,7,0,0,7136,0,44,3070,4332,41,160
Wicklow,Behan,Joe,,8,0,0,6855,0,281,3070,4613,41,160
Wicklow,Behan,Joe,,9,0,0,6250,0,605,3070,5218,41,160
Wicklow,Behan,Joe,Excluded,10,0,10,0,0,-5218,3070,0,41,160
Kildare North,Beirne,Michael,Excluded,6,0,3,0,2059,0,372,0,26,160
Kildare North,Beirne,Michael,Excluded,7,0,3,0,2059,0,372,0,26,160
Kildare North,Beirne,Michael,,1,0,0,9416,2076,0,372,372,26,160
Kildare North,Beirne,Michael,,2,0,0,9399,2059,17,372,389,26,160
Kildare North,Beirne,Michael,Excluded,8,0,3,0,2059,0,372,0,26,160
Kildare North,Beirne,Michael,Excluded,9,0,3,0,2059,0,372,0,26,160
Kildare North,Beirne,Michael,Excluded,3,0,3,0,2059,-389,372,0,26,160
Kildare North,Beirne,Michael,Excluded,4,0,3,0,2059,0,372,0,26,160
Kildare North,Beirne,Michael,Excluded,5,0,3,0,2059,0,372,0,26,160
Limerick City,Bennis,Nora,,1,0,0,8680,1666,0,673,673,28,160
Limerick City,Bennis,Nora,,2,0,0,8530,1516,150,673,823,28,160
Limerick City,Bennis,Nora,Excluded,3,0,3,0,1516,-823,673,0,28,160
Limerick City,Bennis,Nora,Excluded,4,0,3,0,1516,0,673,0,28,160
Limerick City,Bennis,Nora,Excluded,5,0,3,0,1516,0,673,0,28,160
Limerick City,Bennis,Nora,Excluded,6,0,3,0,1516,0,673,0,28,160
Cork South Central,Bogue,Lorna,,2,0,0,9042,690,31,2064,2095,7,243
Cork South Central,Bogue,Lorna,,3,0,0,9029,677,13,2064,2108,7,243
Cork South Central,Bogue,Lorna,,1,0,0,9073,721,0,2064,2064,7,243
Cork South Central,Bogue,Lorna,,7,0,0,8773,421,121,2064,2364,7,243
Cork South Central,Bogue,Lorna,,8,0,0,8685,333,88,2064,2452,7,243
Cork South Central,Bogue,Lorna,,9,0,0,8207,0,478,2064,2930,7,243
Cork South Central,Bogue,Lorna,,4,0,0,9023,671,6,2064,2114,7,243
Cork South Central,Bogue,Lorna,,5,0,0,8954,602,69,2064,2183,7,243
Cork South Central,Bogue,Lorna,,6,0,0,8894,542,60,2064,2243,7,243
Cork South Central,Bogue,Lorna,,10,0,0,7846,0,361,2064,3291,7,243
Cork South Central,Bogue,Lorna,Excluded,11,0,11,0,0,-3291,2064,0,7,243
Meath East,Bonner,Joseph,,1,0,0,7866,106,0,2482,2482,34,178
Meath East,Bonner,Joseph,,2,0,0,7821,61,45,2482,2527,34,178
Meath East,Bonner,Joseph,,3,0,0,7803,43,18,2482,2545,34,178
Meath East,Bonner,Joseph,,4,0,0,7748,0,55,2482,2600,34,178
Meath East,Bonner,Joseph,,5,0,0,7683,0,65,2482,2665,34,178
Meath East,Bonner,Joseph,,6,0,0,7491,0,192,2482,2857,34,178
Meath East,Bonner,Joseph,,7,0,0,7133,0,358,2482,3215,34,178
Meath East,Bonner,Joseph,,8,0,0,6523,0,610,2482,3825,34,178
Meath East,Bonner,Joseph,Excluded,9,0,9,0,0,-3825,2482,0,34,178
Offaly,Bopp,Kate,,1,0,0,10460,2204,0,549,549,37,161
Offaly,Bopp,Kate,,2,0,0,10455,2199,5,549,554,37,161
Offaly,Bopp,Kate,Excluded,3,0,3,0,2199,-554,549,0,37,161
Offaly,Bopp,Kate,Excluded,4,0,3,0,2199,0,549,0,37,161
Offaly,Bopp,Kate,Excluded,5,0,3,0,2199,0,549,0,37,161
Offaly,Bopp,Kate,Excluded,6,0,3,0,2199,0,549,0,37,161
Offaly,Bopp,Kate,Excluded,7,0,3,0,2199,0,549,0,37,161
Dún Laoghaire,Boyd Barrett,Richard,,1,0,0,5035,0,0,9775,9775,21,233
Dún Laoghaire,Boyd Barrett,Richard,,2,0,0,4802,0,233,9775,10008,21,233
Dún Laoghaire,Boyd Barrett,Richard,,3,0,0,2595,0,2207,9775,12215,21,233
Dún Laoghaire,Boyd Barrett,Richard,,4,0,0,1523,0,1072,9775,13287,21,233
Dún Laoghaire,Boyd Barrett,Richard,,5,0,0,49,0,1474,9775,14761,21,233
Dún Laoghaire,Boyd Barrett,Richard,Elected,6,0,6,0,0,957,9775,15718,21,233
Dún Laoghaire,Boyd Barrett,Richard,Elected,7,0,6,0,0,0,9775,15718,21,233
Cork East,Bradford,Paul,,1,0,0,7318,0,0,3244,3244,4,164
Cork East,Bradford,Paul,,2,0,0,7235,0,83,3244,3327,4,164
Cork East,Bradford,Paul,Excluded,10,0,8,0,0,0,3244,0,4,164
Cork East,Bradford,Paul,,3,0,0,7102,0,133,3244,3460,4,164
Cork East,Bradford,Paul,,4,0,0,7031,0,71,3244,3531,4,164
Cork East,Bradford,Paul,,5,0,0,6728,0,303,3244,3834,4,164
Cork East,Bradford,Paul,,6,0,0,6371,0,357,3244,4191,4,164
Cork East,Bradford,Paul,,7,0,0,5966,0,405,3244,4596,4,164
Cork East,Bradford,Paul,Excluded,8,0,8,0,0,-4596,3244,0,4,164
Cork East,Bradford,Paul,Excluded,9,0,8,0,0,0,3244,0,4,164
Louth,Bradley,David,,1,0,0,10936,2495,0,319,319,31,161
Louth,Bradley,David,Excluded,2,0,2,0,2495,-319,319,0,31,161
Louth,Bradley,David,Excluded,3,0,2,0,2495,0,319,0,31,161
Louth,Bradley,David,Excluded,4,0,2,0,2495,0,319,0,31,161
Louth,Bradley,David,Excluded,5,0,2,0,2495,0,319,0,31,161
Louth,Bradley,David,Excluded,7,0,2,0,2495,0,319,0,31,161
Louth,Bradley,David,Excluded,8,0,2,0,2495,0,319,0,31,161
Louth,Bradley,David,Excluded,6,0,2,0,2495,0,319,0,31,161
Louth,Bradley,David,Excluded,10,0,2,0,2495,0,319,0,31,161
Louth,Bradley,David,Excluded,9,0,2,0,2495,0,319,0,31,161
Louth,Bradley,David,Excluded,11,0,2,0,2495,0,319,0,31,161
Dublin South Central,Bradley,Neville,Excluded,10,0,2,0,1737,0,407,0,16,161
Dublin South Central,Bradley,Neville,Excluded,11,0,2,0,1737,0,407,0,16,161
Dublin South Central,Bradley,Neville,,1,0,0,8165,1737,0,407,407,16,161
Dublin South Central,Bradley,Neville,Excluded,2,0,2,0,1737,-407,407,0,16,161
Dublin South Central,Bradley,Neville,Excluded,3,0,2,0,1737,0,407,0,16,161
Dublin South Central,Bradley,Neville,Excluded,4,0,2,0,1737,0,407,0,16,161
Dublin South Central,Bradley,Neville,Excluded,5,0,2,0,1737,0,407,0,16,161
Dublin South Central,Bradley,Neville,Excluded,6,0,2,0,1737,0,407,0,16,161
Dublin South Central,Bradley,Neville,Excluded,7,0,2,0,1737,0,407,0,16,161
Dublin South Central,Bradley,Neville,Excluded,8,0,2,0,1737,0,407,0,16,161
Dublin South Central,Bradley,Neville,Excluded,9,0,2,0,1737,0,407,0,16,161
Wicklow,Brady,John,Elected,4,0,2,0,0,0,11151,11489,41,161
Wicklow,Brady,John,Elected,5,0,2,0,0,0,11151,11489,41,161
Wicklow,Brady,John,Elected,6,0,2,0,0,0,11151,11489,41,161
Wicklow,Brady,John,,1,0,0,317,0,0,11151,11151,41,161
Wicklow,Brady,John,Elected,2,0,2,0,0,338,11151,11489,41,161
Wicklow,Brady,John,Elected,3,0,2,0,0,0,11151,11489,41,161
Wicklow,Brady,John,Elected,7,0,2,0,0,0,11151,11489,41,161
Wicklow,Brady,John,Elected,8,0,2,0,0,0,11151,11489,41,161
Wicklow,Brady,John,Elected,9,0,2,0,0,0,11151,11489,41,161
Wicklow,Brady,John,Elected,10,0,2,0,0,0,11151,11489,41,161
Kerry,Brassil,John,,4,0,0,4449,0,45,8156,8764,24,160
Kerry,Brassil,John,,5,0,0,4256,0,193,8156,8957,24,160
Kerry,Brassil,John,,7,0,0,4076,0,132,8156,9137,24,160
Kerry,Brassil,John,,8,0,0,3971,0,105,8156,9242,24,160
Kerry,Brassil,John,,6,0,0,4208,0,48,8156,9005,24,160
Kerry,Brassil,John,,10,0,0,1258,0,2460,8156,11955,24,160
Kerry,Brassil,John,Elected,11,0,11,421,0,837,8156,12792,24,160
Kerry,Brassil,John,,1,0,0,5057,0,0,8156,8156,24,160
Kerry,Brassil,John,,2,0,0,4571,0,486,8156,8642,24,160
Kerry,Brassil,John,,9,0,0,3718,0,253,8156,9495,24,160
Kerry,Brassil,John,,3,0,0,4494,0,77,8156,8719,24,160
Louth,Breathnach,Declan,,1,0,0,2156,0,0,9099,9099,31,162
Louth,Breathnach,Declan,,2,0,0,2109,0,47,9099,9146,31,162
Louth,Breathnach,Declan,,3,0,0,2035,0,74,9099,9220,31,162
Louth,Breathnach,Declan,,4,0,0,1646,0,389,9099,9609,31,162
Louth,Breathnach,Declan,,5,0,0,1324,0,322,9099,9931,31,162
Louth,Breathnach,Declan,Elected,7,652,6,0,0,-937,9099,11255,31,162
Louth,Breathnach,Declan,Elected,8,652,6,0,0,0,9099,11255,31,162
Louth,Breathnach,Declan,Elected,6,0,6,0,0,2261,9099,12192,31,162
Louth,Breathnach,Declan,Elected,10,652,6,0,0,0,9099,11255,31,162
Louth,Breathnach,Declan,Elected,9,652,6,0,0,0,9099,11255,31,162
Louth,Breathnach,Declan,Elected,11,652,6,0,0,0,9099,11255,31,162
Sligo Leitrim,Bree,Declan,,3,0,0,9121,0,65,3250,3347,35,160
Sligo Leitrim,Bree,Declan,,4,0,0,9069,0,52,3250,3399,35,160
Sligo Leitrim,Bree,Declan,,7,0,0,8303,0,618,3250,4165,35,160
Sligo Leitrim,Bree,Declan,,5,0,0,9014,0,55,3250,3454,35,160
Sligo Leitrim,Bree,Declan,,6,0,0,8921,0,93,3250,3547,35,160
Sligo Leitrim,Bree,Declan,Excluded,15,0,11,0,0,0,3250,0,35,160
Sligo Leitrim,Bree,Declan,,1,0,0,9218,0,0,3250,3250,35,160
Sligo Leitrim,Bree,Declan,,2,0,0,9186,0,32,3250,3282,35,160
Sligo Leitrim,Bree,Declan,,8,0,0,8066,0,237,3250,4402,35,160
Sligo Leitrim,Bree,Declan,,9,0,0,7107,0,959,3250,5361,35,160
Sligo Leitrim,Bree,Declan,,10,0,0,6956,0,151,3250,5512,35,160
Sligo Leitrim,Bree,Declan,Excluded,11,0,11,0,0,-5512,3250,0,35,160
Sligo Leitrim,Bree,Declan,Excluded,12,0,11,0,0,0,3250,0,35,160
Sligo Leitrim,Bree,Declan,Excluded,13,0,11,0,0,0,3250,0,35,160
Sligo Leitrim,Bree,Declan,Excluded,14,0,11,0,0,0,3250,0,35,160
Clare,Breen,Pat,,10,0,0,3491,0,95,6583,7910,3,160
Clare,Breen,Pat,,11,0,0,3109,0,382,6583,8292,3,160
Clare,Breen,Pat,Elected,12,0,12,1313,0,1796,6583,10088,3,160
Clare,Breen,Pat,,1,0,0,4818,0,0,6583,6583,3,160
Clare,Breen,Pat,,2,0,0,4780,0,38,6583,6621,3,160
Clare,Breen,Pat,,7,0,0,3889,0,92,6583,7512,3,160
Clare,Breen,Pat,,8,0,0,3864,0,25,6583,7537,3,160
Clare,Breen,Pat,,4,0,0,4544,0,217,6583,6857,3,160
Clare,Breen,Pat,,5,0,0,4064,0,480,6583,7337,3,160
Clare,Breen,Pat,,3,0,0,4761,0,19,6583,6640,3,160
Clare,Breen,Pat,,9,0,0,3586,0,278,6583,7815,3,160
Clare,Breen,Pat,,6,0,0,3981,0,83,6583,7420,3,160
Wicklow,Briggs,Sharon,,4,0,0,9550,950,464,1241,1918,41,162
Wicklow,Briggs,Sharon,,5,0,0,9249,649,301,1241,2219,41,162
Wicklow,Briggs,Sharon,Excluded,6,0,6,0,649,-2219,1241,0,41,162
Wicklow,Briggs,Sharon,,1,0,0,10227,1627,0,1241,1241,41,162
Wicklow,Briggs,Sharon,,2,0,0,10072,1472,155,1241,1396,41,162
Wicklow,Briggs,Sharon,,3,0,0,10014,1414,58,1241,1454,41,162
Wicklow,Briggs,Sharon,Excluded,7,0,6,0,649,0,1241,0,41,162
Wicklow,Briggs,Sharon,Excluded,8,0,6,0,649,0,1241,0,41,162
Wicklow,Briggs,Sharon,Excluded,9,0,6,0,649,0,1241,0,41,162
Wicklow,Briggs,Sharon,Excluded,10,0,6,0,649,0,1241,0,41,162
Dublin South West,Brophy,Colm,,1,0,0,4017,0,0,7195,7195,19,202
Dublin South West,Brophy,Colm,,2,0,0,4010,0,7,7195,7202,19,202
Dublin South West,Brophy,Colm,,3,0,0,3999,0,11,7195,7213,19,202
Dublin South West,Brophy,Colm,,4,0,0,3977,0,22,7195,7235,19,202
Dublin South West,Brophy,Colm,,5,0,0,3636,0,341,7195,7576,19,202
Dublin South West,Brophy,Colm,,6,0,0,3552,0,84,7195,7660,19,202
Dublin South West,Brophy,Colm,,7,0,0,3454,0,98,7195,7758,19,202
Dublin South West,Brophy,Colm,,8,0,0,3184,0,270,7195,8028,19,202
Dublin South West,Brophy,Colm,,9,0,0,3019,0,165,7195,8193,19,202
Dublin South West,Brophy,Colm,,10,0,0,2999,0,20,7195,8213,19,202
Dublin South West,Brophy,Colm,,11,0,0,2557,0,442,7195,8655,19,202
Dublin South West,Brophy,Colm,,12,0,0,2517,0,40,7195,8695,19,202
Dublin South West,Brophy,Colm,,13,0,0,2488,0,29,7195,8724,19,202
Dublin South West,Brophy,Colm,,14,0,0,2448,0,40,7195,8764,19,202
Dublin South West,Brophy,Colm,,15,0,0,1086,0,1362,7195,10126,19,202
Dublin South West,Brophy,Colm,Elected,16,0,16,573,0,513,7195,10639,19,202
Dublin Bay North,Broughan,Tommy,,1,0,0,6910,0,0,5361,5361,13,160
Dublin Bay North,Broughan,Tommy,,2,0,0,6873,0,37,5361,5398,13,160
Dublin Bay North,Broughan,Tommy,,4,0,0,6693,0,67,5361,5578,13,160
Dublin Bay North,Broughan,Tommy,,3,0,0,6760,0,113,5361,5511,13,160
Dublin Bay North,Broughan,Tommy,,5,0,0,6493,0,200,5361,5778,13,160
Dublin Bay North,Broughan,Tommy,,10,0,0,5688,0,484,5361,6583,13,160
Dublin Bay North,Broughan,Tommy,,6,0,0,6415,0,78,5361,5856,13,160
Dublin Bay North,Broughan,Tommy,,11,0,0,5448,0,240,5361,6823,13,160
Dublin Bay North,Broughan,Tommy,,7,0,0,6233,0,182,5361,6038,13,160
Dublin Bay North,Broughan,Tommy,,8,0,0,6206,0,27,5361,6065,13,160
Dublin Bay North,Broughan,Tommy,,9,0,0,6172,0,34,5361,6099,13,160
Dublin Bay North,Broughan,Tommy,,12,0,0,5268,0,180,5361,7003,13,160
Dublin Bay North,Broughan,Tommy,,13,0,0,4536,0,732,5361,7735,13,160
Dublin Bay North,Broughan,Tommy,,14,0,0,2794,0,1742,5361,9477,13,160
Dublin Bay North,Broughan,Tommy,Elected,15,0,15,706,0,2088,5361,11565,13,160
Wexford,Browne,James,Elected,14,284,10,0,0,0,9827,11944,40,160
Wexford,Browne,James,,1,0,0,2117,0,0,9827,9827,40,160
Wexford,Browne,James,,2,0,0,2094,0,23,9827,9850,40,160
Wexford,Browne,James,,3,0,0,2007,0,87,9827,9937,40,160
Wexford,Browne,James,,4,0,0,1961,0,46,9827,9983,40,160
